Census District,City/Town/Village,Total Population,Year,latitude,longitude,lat_decimals,lon_decimals,needs_reassign,good_coords,pop_clean
Jwaneng,Unit 8,"1,541",2022,-24.6112692,24.745459,7,6,False,True,1541
Jwaneng,Seole Area (unit 4),"2,011",2022,-24.59690468622316,24.72319033615958,14,14,False,True,2011
Jwaneng,Mine Golf Course,41,2022,-24.590758553215355,24.72496211085882,15,14,False,True,41
Jwaneng,Jwaneng Mine Park,30,2022,-24.524558,24.7020721,6,7,False,True,30
Sowa,Cresent (Soda Ash Camp/P Camp),598,2022,-20.559713707888033,26.22238219168389,15,14,False,True,598
Sowa,Phatsima,876,2022,-20.56088651564301,26.224244916954408,14,15,False,True,876
Sowa,Moonlight,"1,135",2022,-20.568896176420463,26.22778735749423,15,14,False,True,1135
Sowa,Popagano,144,2022,-20.568633705199463,26.2268112067684,15,13,False,True,144
Sowa,Borakanelo,161,2022,-20.557068003848705,26.221424443296733,15,15,False,True,161
Ngwaketse,Village Kanye,"48,028",2022,-24.98782590963426,25.342297581604175,14,15,False,True,48028
Ngwaketse,Village Lotlhakane West,"2,056",2022,-24.79837051410416,25.3722086060368,14,13,False,True,2056
Ngwaketse,Village Gasita,"1,188",2022,-25.101917037358124,24.87992004908604,15,14,False,True,1188
Ngwaketse,Village Lorolwana,"2,225",2022,-25.32528896023248,24.493440320710697,14,15,False,True,2225
Ngwaketse,Village Kgomokasitwa,"1,669",2022,-25.090945210302337,25.62620863387271,15,14,False,True,1669
Ngwaketse,Village Pitseng,"1,526",2022,-24.69104515908329,25.041561837848448,14,15,False,True,1526
Ngwaketse,Village Seherelela,884,2022,-24.877188511241513,24.90568419692993,15,14,False,True,884
Ngwaketse,Village Lotlhakane,"6,045",2022,-25.083546,25.4555858,6,7,False,True,6045
Ngwaketse,Village Sese,"6,798",2022,-24.6539712,24.8061321,7,7,False,True,6798
Ngwaketse,Village Sesung,"1,006",2022,-24.1000203,24.9184262,7,7,False,True,1006
Ngwaketse,Village Magotlhwane,"1,751",2022,-24.9943967,25.5839707,7,7,False,True,1751
Ngwaketse,Village Segwagwa,"1,008",2022,-25.1892051,25.1735622,7,7,False,True,1008
Ngwaketse,Village Manyana,"3,750",2022,-24.7711226,25.5897031,7,7,False,True,3750
Ngwaketse,Village Dipotsana,113,2022,-25.2361506,25.4222089,7,7,False,True,113
Ngwaketse,Village Diabo,261,2022,-25.199836,25.3638144,6,7,False,True,261
Ngwaketse,Village Molapowabojang,"8,722",2022,-25.207442,25.5621872,6,7,False,True,8722
Ngwaketse,Village Ralekgetho,554,2022,-24.6633017,25.1674056,7,7,False,True,554
Ngwaketse,Village Moshaneng,"1,961",2022,-24.9061999,25.24069,7,5,False,True,1961
Ngwaketse,Village Moshupa,"23,858",2022,-24.7762704,25.4141193,7,7,False,True,23858
Ngwaketse,Village Ntlhantlhe,"2,842",2022,-24.9630609,25.5939777,7,7,False,True,2842
Ngwaketse,Village Tshwaane,193,2022,-23.8774104,23.6710502,7,7,False,True,193
Ngwaketse,Village Selokolela,"1,750",2022,-24.956989,25.11051,6,5,False,True,1750
Ngwaketse,Village Mogonye,"1,081",2022,-24.8250242,25.7072198,7,7,False,True,1081
Ngwaketse,Village Betesankwe,507,2022,-25.0232549,25.1881801,7,7,False,True,507
